ARRIVALS,,,,
#sitename,,,,
#onset,,,,
#first motion,,,,
#phase,,,,
#year month day,,,,
#hour minute,,,,
#second,,,,
#uncertainty in seconds,,,,
#peak amplitude,,,,
#frequency at P phase,,,,
,,,,
TIME SERIES,,,,
LLPS,LLPS,LLPS,#sitename,
EHE _,EHN _,EHZ _,#component,
unnamed,unnamed,unnamed,#authority,
20180828,20180828,20180828,#year month day,
438,438,438,#hour minute,
7.112,7.112,7.112,#second,
100,100,100,#samples per second,
27126,27126,27126,#number of samples,
0,0,0,#sync,
,,,#sync source,
--------,--------,--------,,
790,-2157,462,786,
835,-2239,502,787,
837,-2327,427,788,
824,-2290,393,789,
744,-2196,531,790,
771,-2176,611,791,
831,-2202,520,792,
793,-2236,402,793,
793,-2265,328,794,
778,-2252,233,795,
875,-2270,177,796,
878,-2291,196,797,
835,-2297,201,798,
867,-2247,219,799,
855,-2287,281,800,
871,-2344,337,801,
832,-2283,330,802,
778,-2312,351,803,
747,-2310,389,804,
771,-2289,368,805,
759,-2224,433,806,
742,-2164,499,807,
834,-2200,451,808,
794,-2212,405,809,
747,-2238,335,810,
801,-2230,246,811,
815,-2177,201,812,
881,-2099,243,813,
934,-2066,326,814,
957,-2103,353,815,
983,-2173,378,816,
922,-2284,324,817,
875,-2328,288,818,
850,-2340,345,819,
840,-2345,352,820,
910,-2261,351,821,
928,-2180,310,822,
907,-2157,291,823,
887,-2163,312,824,
900,-2186,296,825,
915,-2231,295,826,
885,-2218,262,827,
930,-2138,279,828,
948,-2102,370,829,
910,-2126,415,830,
888,-2183,432,831,
790,-2206,401,832,
681,-2201,358,833,
631,-2198,325,834,
684,-2197,242,835,
785,-2164,269,836,
803,-2113,383,837,
808,-2098,436,838,
761,-2127,451,839,
790,-2208,404,840,
780,-2213,412,841,
750,-2229,443,842,
771,-2243,443,843,
667,-2301,425,844,
799,-2375,308,845,
849,-2338,242,846,
835,-2417,230,847,
903,-2401,195,848,
861,-2384,223,849,
948,-2432,265,850,
907,-2430,277,851,
876,-2454,307,852,
894,-2397,365,853,
856,-2329,460,854,
859,-2323,528,855,
837,-2375,505,856,
893,-2405,379,857,
966,-2378,308,858,
932,-2278,313,859,
944,-2248,315,860,
1079,-2281,336,861,
1022,-2290,251,862,
998,-2203,229,863,
1004,-2087,335,864,
947,-2108,404,865,
966,-2153,434,866,
943,-2193,447,867,
1001,-2141,493,868,
889,-2132,472,869,
844,-2147,426,870,
824,-2126,392,871,
738,-2150,311,872,
791,-2141,327,873,
763,-2170,366,874,
872,-2224,210,875,
875,-2201,132,876,
805,-2150,201,877,
772,-2203,226,878,
721,-2288,337,879,
779,-2323,393,880,
750,-2354,440,881,
772,-2351,481,882,
789,-2385,409,883,
727,-2403,355,884,
734,-2384,326,885,
723,-2334,344,886,
728,-2218,341,887,
735,-2171,441,888,
693,-2164,422,889,
785,-2192,245,890,
824,-2227,267,891,
806,-2257,242,892,
895,-2219,226,893,
865,-2176,261,894,
853,-2177,264,895,
865,-2166,327,896,
846,-2230,342,897,
836,-2259,368,898,
800,-2259,386,899,
901,-2170,387,900,
902,-2140,436,901,
843,-2139,406,902,
878,-2070,367,903,
800,-2052,342,904,
782,-2048,229,905,
806,-2083,200,906,
819,-2071,223,907,
882,-2100,184,908,
883,-2161,256,909,
904,-2249,304,910,
928,-2276,299,911,
828,-2270,397,912,
785,-2314,421,913,
772,-2285,430,914,
739,-2369,425,915,
785,-2365,368,916,
779,-2287,307,917,
781,-2289,278,918,
763,-2252,416,919,
794,-2343,405,920,
907,-2370,322,921,
936,-2352,338,922,
951,-2350,307,923,
965,-2286,376,924,
978,-2331,395,925,
947,-2312,365,926,
935,-2234,400,927,
919,-2228,371,928,
894,-2188,286,929,
951,-2141,253,930,
894,-2110,334,931,
809,-2049,404,932,
847,-2129,419,933,
880,-2255,446,934,
925,-2303,482,935,
976,-2355,477,936,
909,-2378,466,937,
893,-2441,432,938,
970,-2426,367,939,
924,-2347,336,940,
919,-2281,293,941,
921,-2268,263,942,
911,-2298,228,943,
926,-2207,220,944,
868,-2164,242,945,
876,-2153,258,946,
846,-2091,348,947,
855,-2074,382,948,
860,-2056,364,949,
798,-2115,361,950,
828,-2160,362,951,
800,-2173,411,952,
833,-2208,377,953,
833,-2138,416,954,
758,-2143,417,955,
758,-2205,238,956,
700,-2223,220,957,
743,-2286,205,958,
755,-2289,238,959,
717,-2274,351,960,
769,-2306,375,961,
732,-2290,437,962,
778,-2284,428,963,
803,-2284,381,964,
720,-2255,353,965,
757,-2188,339,966,
769,-2101,345,967,
798,-2141,335,968,
872,-2173,337,969,
864,-2173,330,970,
921,-2261,302,971,
885,-2290,276,972,
866,-2344,284,973,
956,-2418,250,974,
950,-2422,274,975,
1047,-2450,363,976,
1056,-2362,387,977,
996,-2310,400,978,
1013,-2322,380,979,
956,-2340,394,980,
933,-2387,480,981,
869,-2339,525,982,
787,-2348,470,983,
743,-2233,447,984,
687,-2169,473,985,
